current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
wash scissors,put-on scissors,"Based on the chef's current action, I will dry the scissors to help prepare for the next action.",,Fetch clean scissors for chef.,,put-on scissors,
pour-in milk,pick-up milk,"Based on the current action, I would fetch the next ingredient.",,Fetch the milk.,,fetch milk,
roll dough,pick-up base,"Based on current action, I'll fetch the rolling pin next.",,Fetch the rolling pin for the chef.,,I'll wash the dough.,
put-on cake,stab cake,"If stab cake is not the next action, I'd stabilize the cake.",,"Fetch the cake pan.

This action is chosen because it directly supports the chef's current action of putting on the cake by providing the necessary tool, the cake pan, which is likely needed to complete the task.",,"### action: wash

### next action: stab",
wash hand,put-on boardchopping,Dry hands before chef begins chopping.,,Fetch ingredients for the next step.,,put-on boardchopping,
pour oil,take lemon,"Based on the current action of pouring oil, I would fetch the lemon.",,Fetch lemon to assist the chef.,,I'll wash the lemon.,
put-into milksoya,put-into olive,"Based on current action, I'd fetch milksoya container next.",,Fetch the soya milk.,,I'll wash the ingredients.,
put-down containeroil,spread-out oil,"Based on the chef's current action and the next expected action, I will prepare the oil container for spreading. I will therefore clean and stabilize the container.",,Fetch the spread-out oil for the chef.,,"### action: wash

### list: clean, dry, cut, slice, mix, pour, fetch, stabilize, bring",
pick-up brushwashingup,brush bottomsink,"Based on the chef's current action, I will fetch the dish rack to prepare for the next step.",,Fetch the brush to assist with brushwashing.,,I'll wash the brush.,
pour sugar,roll sachetsugar,"If the chef is rolling sachets of sugar next, I will fetch more sugar.",,Fetch sugar sachets.,,I'll wash the sachetsugar.,
close top,mix curry,"If chef mixes curry next, I'll fetch required ingredients.",,Fetch the mix curry.,,I'll wash the curry to prevent contamination.,
stir-in meat,put-down lidsaucepan,"Based on the current action, I would fetch the lid for the saucepan.",,Fetch the lidsaucepan for the chef.,,I will wash the saucepan.,
put-down boardchopping,pull-from plug,"Based on the chef's current action of board chopping, the best help would be to fetch fresh ingredients.",,"Fetch the chopped ingredients.

This action is chosen because it directly assists the chef by providing the necessary ingredients that have already been prepared, thus streamlining the cooking process.",,I'll wash the boardchopping utensils.,
use cloth,pick-up yogurt,"Based on the chef's current action with the cloth, the best help would be to fetch the next ingredient or tool.",,Fetch the yogurt for the chef.,,fetch yogurt,
take dish,rinse hand,"Based on the chef's current action of taking a dish, I would fetch the next required ingredient or tool.",,Fetch clean utensils for chef.,,Wash hands.,
switch-on heat,switch-on tapwater,"Based on the chef's current action, I will fetch the required cooking utensils next.",,Fetch tapwater for chef.,,Switch-on water.,
take-from paper,clean-with desk,"Based on the chef's current action of taking from the paper, the next best action for me would be to fetch the required ingredient or tool.",,Fetch the paper for the chef.,,I will wash the utensils.,
adjust cooker,move colander,"Based on the chef's current action of adjusting the cooker, I will fetch the required ingredients or tools next.",,Stabilize the cooker to ensure even cooking.,,fetch colander,
pull-down gloverubber,feel endthermometer,"Based on the current action, I would fetch the thermometer.",,Fetch the end thermometer.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
spread onionchopped,pick-up onion,"Based on the current action of the chef being ""onion chopped,"" I would fetch the next ingredient for the chef to work on.",,Fetch the onion.,,I'll wash the onion.,
turn-off button,pick-up glass,"Based on the chef's current action of turning off a button, I would stabilize the kitchen setup to prepare for the next action, which is fetching a glass.",,Fetch the chef's next task.,,"### action: wash
### action list: clean, sanitize, rinse, dry, dryer, wipe",
pick-up salt,grind salt,"Based on the current action of picking up salt, I would fetch a grinder next.",,Fetch the salt shaker.,,I will wash the salt.,
throw-away courgette,pick-up onion,"Based on the current action of throwing away courgette, I would fetch a new one.",,Fetch onion to assist the chef.,,I'll wash the onion.,
put-down beer,close freezer,Fetch a glass from the cabinet for your chef's next action.,,Fetch the beer.,,"### action: close freezer
### next action: retrieve ice
### action: retrieve ice
### action: put ice in fridge
### action: fetch ice from fridge
### action: put ice in freezer",
separate cucumber,pick-up piececucumber,"Based on the current action, I would suggest washing the cucumber next.",,Fetch the piece cucumber.,,fetch cucumber,
put-down pancakecrispy,open freezer,"Based on the current action, I will mix the batter if needed.",,Fetch the pancake from the pan.,,I'll wash the pancakecrispy.,
pick-up carafe,put-down knifemincing,"Based on the chef's current action of picking up the carafe, I would fetch the required ingredient or tool next.",,Fetch the ingredients for the chef.,,I will wash the carafe.,
fill-with jug,scrape skinsalmon,"Based on current action, I'll fetch water for the next task. (Fetch water)",,Fetch the skinsalmon.,,I'll wash the salmon.,
take-out courgette,adjust oven,"Based on the chef's current action of taking out courgette, I would fetch the next ingredient.",,Fetch the courgette for the chef.,,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring",
wash hand,rinse boardchopping,"Based on the chef's next action being ""rinse board chopping,"" I would dry the hands and fetch the necessary ingredients.",,Fetch clean cutting board.,,wash the board.,
rinse cloth,wipe cooker,"Based on the current action of rinsing the cloth, the next best action for me would be to fetch a clean dry towel.",,Fetch clean cloth for chef.,,I'll wash the cloth.,
pick-up gloverubber,wipe thermometer,"Based on the chef's current action of picking up a glove rubber, the best help I can provide next is to fetch the requested item for the next action, which is a wipe thermometer. Therefore, I will bring it to the chef.",,Fetch the glove.,,I'll wash the thermometer.,
pick-up tupperware,pick-up packetcrisp,"Based on the chef's current action of picking up a tupperware, I would fetch the packet crisps next.",,Fetch the packet crisp.,,I'll wash the tupperware.,
pick-up sandwich,put-down bread,"Based on the chef's next action being ""put-down bread,"" I would fetch the necessary condiments or toppings to complete the sandwich.",,"Fetch the sandwich fillings.

Explanation: Since the chef is currently picking up a sandwich, the next logical step would be to provide the necessary ingredients or components for the sandwich, hence fetching the sandwich fillings.",,I will wash the bread.,
move kettle,move box,"Based on the chef's current action of moving the kettle, I would fetch the desired box next.",,Fetch the kettle's contents.,,fetch kettle,
put-down onion,pick-up onion,"Based on the chef's current action, I would stabilize the onion next.",,Fetch the onion.,,I will wash the onion.,
cut chicken,put-in chicken,"Based on the current action of cutting chicken, the best help I can provide next is to fetch clean cutting board.",,Fetch the chicken from the counter.,,I will wash the chicken.,
remove-from egg,flip pattytuna,"Based on the chef's current action and the next action, I will fetch the spatula for flipping the pattytuna.",,Fetch the flip patty tuna.,,"### action: wash

### action list: bring, fetch, clean, stabilize, mix, pour, slice, cut, dry, wash",
pick-up ladle,pick-up tupperware,"Based on the chef's current action of picking up a ladle, I would fetch the requested tupperware.",,Fetch the ingredients for the chef.,,fetch tupperware,
move-in cheese,put-down scourer,"Based on the chef's current action of moving in cheese, the best help would be to fetch the grater.",,Fetch the put-down scourer.,,I'll put-down the scourer.,
put-down glass,stir meat,"Based on the chef's current action of putting down a glass, I would fetch the stirring spoon next.",,Fetch the stirring utensil.,,I'll wash the glass.,
pick-up bottlewater,pull-off dishoven,"Based on the chef's current action of picking up a bottle of water, I would fetch a clean glass.",,Fetch the dishwasher.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
take-off gloveoven,pick-up potatosweet,"Based on the chef's current action and the potential next action, I would fetch the potatoes.",,Fetch the potatoes.,,I'll wash the potatoes.,
pick-up strainer,put-down boardcutting,"Based on the chef's current action of picking up a strainer, the best assistance would be to:

1. Prepare the sink for washing.
2. Fill it with water if necessary.

Therefore, my action would be: ""Prepare sink for strainer washing.""",,Fetch the ingredients for the next step.,,I'll wash the strainer.,
serve-on coffee,grab milk,Fetch milk for chef to complete serve-on coffee.,,Fetch milk to assist the chef.,,I'll grab milk.,
turn-off steam,turn-down machine,"Based on the chef's current action and the next action, I will fetch the turn-down machine.",,Fetch the turn-down machine.,,"### action: wash

### next action: dry",
put-in teaspoon,pick-up spoonmeasuring,"Based on the current action, I would fetch a clean spoon for my chef.",,Fetch the ingredients for the recipe.,,I'll wash the spoon.,
put-down napkin,pick-up glass,"Based on the current action, I will fetch a glass for my chef.",,Fetch the napkin for the chef.,,I'll pick up the glass.,
put-on jug,take colander,"Based on the current action, I would fetch a clean jug or stabilize the jug if it's unsteady.",,Fetch the colander.,,fetch colander from pantry.,
remove skin,put-down bread,"Based on the chef's current action of removing skin, the best assistance would be to:

1. Clean the surface: Wipe down the counter or table to ensure a hygienic workspace.",,Fetch the knife to assist with removing skin.,,I'll slice the bread.,
put-in water,fill kettle,"Based on current observation, I will fetch the kettle. (Assuming the chef needs it for boiling water.)",,Fetch water for chef.,,fetch water.,
lather saucepan,throw napkin,"Based on the chef's current action of lathering a saucepan, the best help would be to fetch a clean dishcloth or sponge to assist in cleaning the saucepan after use.",,Fetch ingredients for the next step.,,Throw napkin,
put-on salami,close packagingbread,"Based on the current action and the potential next action, I would fetch the packaging bread.",,Fetch close packaging bread.,,I will wash the bread.,
throw bag,close bucket,"Based on the chef's current action of throwing a bag, the best help would be to fetch the next ingredient or tool.",,Fetch the bag.,,I will wash the bag.,
pick-up detergent,put-down detergent,"Based on the current action, I would fetch the next required kitchen tool or ingredient.",,"Fetch the dish to be cleaned.

Explanation: Since the chef is currently picking up detergent, the next logical step would be to fetch the dish that needs cleaning, which will then allow the chef to proceed with washing it.",,fetch detergent,
wash handleknife,rinse blockchopping,"Based on the chef's next action being ""rinse block chopping,"" I would suggest drying the handle of the knife first. This ensures a safe and efficient workflow.",,Fetch the block of cheese.,,I'll wash the handleknife.,
check meat,press-onto meat,"Based on the current action of checking meat, I would suggest: ""Prepare a plate for the chef to press onto the meat.""",,Fetch the meat from the refrigerator.,,I will wash the meat.,
open sandwich,spread-onto butter,"Based on the current action of my chef, I will fetch the bread for the open sandwich.",,Fetch spread-onto butter.,,I'll spread the butter onto the sandwich.,
wash potmoka,rinse potmoka,"Based on the chef's current action, I will dry the potmoka next.",,Fetch clean utensils for chef.,,I will rinse potmoka.,
press-down dough,lift-up chopstick,"Based on the chef's current action and the potential next action, I would suggest stabilizing the dough to provide the best assistance.",,Stabilize the dough to assist the chef.,,I'll wash the dough.,
pick-up teaspoon,pick-up holdercoffee,"Based on the chef's current action of picking up a teaspoon, I would fetch the holder for the coffee next.",,Fetch the ingredients needed for the chef's next step.,,fetch coffee,
put spatula,cut-off bagcarrotpacking,"Based on the current action of putting a spatula, I would fetch the carrots for carrot packing next.",,Fetch the cut-off bag of carrots.,,I'll wash the spatula.,
pick-up peppercayenne,measure peppercayenne,"Based on the chef's current action, I will fetch more peppercayenne if needed.",,Fetch peppercayenne.,,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
split onion,peel onion,"Based on the chef's current action of splitting an onion, the best assistance would be to:

Wash and dry the next onion.",,Fetch the onion.,,I will wash the onion.,
spray removerspot,get mattable,"Based on the current action, I would fetch the mat.",,Fetch the mattable for the chef.,,I'll wash the removerspot.,
cut cucumber,remove-from cucumber,"Based on current observation, I will prepare the next cucumber by washing it.",,Fetch a cutting board and knife.,,I will wash the cucumber.,
grab platesmall,pick-up lighter,"Based on the chef's current action of grabbing a small plate, I would fetch the next required item.",,Fetch plates for chef.,,fetch lighter.,
take-out kale,end_of_video,"Based on the chef's current action of taking out kale, the best assistance would be to:

Wash the kale thoroughly.",,"Fetch fresh kale from storage.

This action is chosen because the chef has already taken out kale, which implies that the kale is ready to be used in a recipe. The next logical step would be to ensure that the kale is fresh and ready for the cooking process. Fetching fresh kale from storage ensures that the chef",,I'll wash the kale.,
check meat,move oil,"Based on the current action of checking meat, I would fetch a plate to prepare for the next step.",,Fetch the meat for the chef to check.,,I'll wash the meat.,
break-up rice,wash lidsaucepan,"Based on the current action of breaking up rice, the best help I can provide next is to fetch a clean saucepan.",,Fetch the lidsaucepan to assist the chef.,,I'll wash the saucepan.,
pour-into water,put-down glass,"Based on the current action, I would fetch a clean glass.",,Fetch the glass to assist the chef.,,I will wash the glass.,
stir pasta,rinse lidpot,"Based on the chef's current action of stirring pasta, I would fetch the colander to help drain the pasta once it's cooked.",,Fetch the rinse lidpot.,,I'll rinse the pot.,
slice tomatofifth,slice tomatosixth,"I'll prepare another tomato for slicing. (fetch, slice)",,Slice tomatoes.,,I will wash the tomatoes.,
pick filter,put-into milk,"Based on the current action of picking a filter, I would fetch the next required item for the chef's next action of putting it into milk.",,Fetch the put-into milk.,,I'll wash the filter.,
pick-up coaster,pick-up rackknife,"Based on the chef's current action of picking up a coaster, the best help would be to fetch the rack knife.",,Fetch the cutting board.,,I'll wash the rackknife.,
place glass,close juice,"Based on the chef's current action of placing a glass, I would fetch a clean glass next.",,Fetch the juice to assist the chef.,,I'll wash the glass.,
turn-on washer,close app,"Based on the current action of turning on the washer, the best help I can provide next is to fetch the dirty dishes.",,Fetch ingredients for the next cooking step.,,"### action: close app
### next action: monitor washer status",
take parsley,take garbage,"Based on the chef's current action of taking parsley, the best help I can provide next is:

Fetch water for rinsing.",,Fetch fresh parsley.,,I'll wash the parsley.,
adjust bag,pick-up glass,"Based on the chef's current action of adjusting a bag, the best help would be to fetch the next ingredient.",,Fetch the glass for the chef.,,I'll wash the glass.,
put-in dishwasher,pick-up boardchopping,"Based on the current action and the potential next action, I will fetch the board for board chopping.",,Fetch ingredients for chef's next action.,,fetch boardchopping,
wear glovesecond,open oven,"Based on the chef's current action and the potential next action, I would fetch the oven mitts.",,Fetch gloves for chef.,,"### action: wash

### next action: open oven

### action: open oven

### action: fetch",
close bag,pick-up clip,"Based on the chef's current action of closing a bag, the best assistance would be to fetch the next ingredient or tool.",,Fetch the clip to assist the chef.,,I'll wash the bag.,
open box,take bag,"Based on the current action of my chef being ""open box,"" I would fetch the necessary tools or ingredients for the next action, such as a knife for cutting or a mixing bowl for mixing.",,Fetch the ingredients needed for the chef's next step.,,I'll wash the bag.,
pick-up clip,rinse hand,"Based on the chef's current action of picking up a clip, I would fetch the requested item next.",,Fetch clean utensils for chef.,,I'll wash the chef's hands.,
wash hand,turn-on oven,"Based on the chef's current action of washing hands, I will fetch a clean towel to dry their hands.",,"Fetch ingredients for the next step.

This response suggests that after the chef has washed their hands, the next logical step would be to gather the necessary ingredients for the chef to use in their cooking process. This action is helpful as it ensures that the chef has everything they need to proceed with their recipe without interruption.",,"### action: wash hand
### next action: turn-on oven
### action: turn-on oven
### action: fetch water
### action: pour water into pot
### action: bring pot to stove",
take oilolive,pour-on oilolive,"If chef is taking olive oil, I'll prepare for pouring. (fetch the pouring container)",,Pour oilolive.,,I will wash the oilolive.,
put spatula,put-in plug,"Based on the chef's current action of putting a spatula, I would fetch the next ingredient or tool needed.",,Fetch the ingredients for the chef.,,I'll put the plug in the drain.,
soak gratercheese,pick-up lidsaucepan,"Based on the current action, I would fetch a clean saucepan for my chef.",,Fetch the lidsaucepan to assist the chef.,,I'll wash the grater cheese.,
put-down bottlecookingwine,take bagpacking,"Based on the chef's current action, I will fetch a clean bottle for the next task.",,Fetch the wine bottle.,,I'll wash the bottlecookingwine.,
look-at contentfridge,pick-up bunbao,"Based on current observation, fetch a bottle of water for the chef.",,Fetch the ingredients from the fridge.,,### action: fetch bunbao,
put utensil,put-away peelerpotato,"Based on the chef's current action of putting an utensil, I would fetch the next required tool.",,Fetch the potato.,,fetch peeler,
close cabinet,pick-up lighter,"Based on the chef's current action of closing a cabinet, I will fetch the requested item next.",,Fetch the lighter for the chef.,,I will fetch the lighter from the cabinet.,
take-from ground,put-in groundcoffee,"Based on the chef's current action and the potential next action, I would fetch the ground coffee.",,Fetch ground coffee.,,I'll put the ground coffee in.,
put-down colander,pick-up holderspoon,"Based on the chef's previous action, I will fetch the holderspoon next.",,Fetch the spoon.,,I'll wash the colander.,
take water,put-on water,"Based on the chef's current action of taking water, I would fetch a clean container to pour the water into.",,Fetch water for chef.,,I'll wash the water.,
place teaspoon,pick-up carafe,"Based on the current action, I will fetch the carafe next.",,Fetch the carafe.,,I'll wash the carafe.,
put-down tub,open flour,"Based on the chef's current action and the next action, I will fetch the open flour.",,Fetch the open flour.,,I'll wash the tub.,
take kettle,end_of_video,"Based on the chef's current action of taking the kettle, I would fetch the necessary ingredients for brewing.",,Fetch the tea leaves for the chef.,,"### action: wash
### action list: 
* wash
* dry
* cut
* slice
* mix
* pour
* fetch
* clean
* stabilize
* bring",
put-down glass,soften butter,"Based on the current action and the potential next action, I would fetch the softened butter.",,Fetch the butter to soften.,,I'll wash the glass.,
put-down oil,get boardcutting,"Based on the chef's current action of putting down oil, the best help would be to fetch the cutting board.",,Fetch additional oil for the chef.,,"### action: wash

### next action: cut",
put-on glass,take garbage,"Based on the current action of putting on glass, I would fetch the next ingredient or tool for my chef.",,Fetch clean glassware for chef.,,I'll wash the glass.,
take rack,put-in rack,"Based on the chef's current action of taking a rack, I would fetch the next ingredient or tool needed.",,Fetch the rack for the chef.,,I'll put the rack in the rack holder.,
put-down bottlewashingliquid,throw peelgarlic,"Based on the chef's current action, I will fetch the garlic peel for the next task.",,Fetch clean bottle for chef.,,I'll wash the bottle.,
place-in corn,get salad,"Based on the current action of placing in corn, I would fetch the salad ingredients next.",,Fetch the corn.,,fetch salad,
put-in gochujang,close doorfridge,I'd fetch the next ingredient for my chef.,,Fetch gochujang from the pantry.,,I will close the refrigerator door.,
spread cream,place peach,"Based on the current action of spreading cream and the next action of placing a peach, I would fetch the peach for my chef.",,Fetch the peach.,,Place peach,
close bintrash,get bagpinenut,Fetch a fresh bag of pine nuts for your chef.,,Fetch the bag of nuts.,,I'll fetch the bagpenny from the bin.,
throw cucumber,wash cucumber,I'd fetch a fresh cucumber for your next action.,,Fetch cucumber.,,I'll wash the cucumber.,
put-in dishoven,pick-up saucepan,"Based on the current action, I will fetch the required saucepan.",,Fetch the saucepan.,,fetch saucepan,
pick-up lidtupperware,wash tupperware,"If chef is washing tupperware next, I'll fetch more dishes to help.",,Fetch clean utensils for chef.,,I'll wash the Tupperware.,
put-down teaspoon,turn-off dishwasher,"Based on the current action, I would fetch a clean teaspoon.",,Fetch the teaspoon for the chef.,,"### action: wash
### action list: bring, fetch, clean, wash, mix, pour, stabilize, dry, cut, slice",
pour-in pepper,take salt,"Based on the current action of pouring in pepper, the next best action for me would be to fetch the salt.",,Fetch the salt for the chef.,,fetch salt,
put-into pasta,take salt,"Based on the current action, I would fetch the salt.",,Fetch salt to assist the chef.,,I'll wash the salt.,
adjust levelwater,take brush,"Based on the current action of adjusting water level, the next best action for me would be to fetch the required ingredients or tools.",,Fetch water to assist with adjusting the level.,,I'll wash the brush.,
take bagginger,end_of_video,"Based on the chef's current action of taking a bagger, I would fetch the next ingredient.",,Fetch ingredients for the next step.,,I will wash the bagger.,
tear bagpacking,take carrot,"Based on the chef's current action and next intended action, I will fetch the carrots.",,Fetch the carrot.,,I'll wash the carrot.,
empty curdcheese,scoop curdcheese,"Based on the current action of emptying curd cheese, I would fetch a clean container to help my chef stabilize the next scoop of curd cheese.",,Fetch curdcheese.,,I'll wash the curdcheese.,
open packagecookie,take cookie,"Based on the current action, I would fetch the glass for the chef to have with their cookie.",,Fetch the cookie.,,I'll wash the package.,
close machinecoffee,drink-from water,"Based on the chef's current action of preparing to make coffee, I would fetch the necessary supplies such as coffee beans, filter, and water.",,Fetch fresh water for the chef.,,fetch water,
take-out olive,chop olive,"If chef is chopping olive next, I'll fetch a chopping board.",,Fetch the olive.,,I will wash the olive.,
take piececucumber,put-into cucumber,"Based on the chef's next action being ""put-into,"" I would suggest preparing the cucumber by washing and slicing it.",,Fetch the cucumber.,,I'll wash the cucumber.,
open basket,throw peeling,"Based on the current action of my chef being ""open basket,"" I would fetch the desired ingredient next.",,Fetch the peeling.,,I'll wash the peeling.,
put-down slicemozzarella,eat mozzarella,"Based on the chef's current action, I would fetch more mozzarella.",,Slice mozzarella.,,I'll wash the mozzarella.,
roll cylinder,fill-into water,"Based on the current action of rolling a cylinder, the best help I can provide next is to fetch the necessary ingredient or tool.",,Fetch water for chef.,,I'll wash the cylinder.,
pour-into noodle,end_of_video,"Based on the current action, I would fetch the next ingredient for the chef.",,Fetch additional ingredients for the noodle dish.,,I cannot provide information on how to make a video of a chef. Can I help you with something else?,
pick-up liquid,fill liquid,"Based on the chef's current action of pick-up liquid, I would fetch the desired container next.",,Fetch the liquid for the chef.,,"### action: pour

### output
pour liquid",
spoon pasta,stir pasta,"If stir pasta is next, I'll mix the pasta. Otherwise, I'll fetch water if needed.",,Fetch the pasta sauce.,,I'm washing the pasta.,
dry teaspoon,pick-up honey,"Based on the current action of the chef being the use of a dry teaspoon, I would fetch the desired ingredient or container next.",,Fetch honey.,,I'll wash the spoon.,
put-on sauce,put-into tortilla,"Based on the chef's current action of put-on sauce, I would fetch the necessary ingredients for the next dish.",,Fetch the ingredients for the sauce.,,I will wash the sauce.,
open punnetraspberry,wash raspberry,"If chef isn't washing raspberries, I'll fetch a clean bowl for them.",,Fetch fresh raspberries.,,I'll wash the punnetraspberry.,
close jarpepper,end_of_video,"Based on the chef's current action of closing a jar, I would fetch the next ingredient.",,Fetch the pepper grinder for the chef.,,I will wash the jarpepper.,
pick-up peanut,eat peanut,"Based on the chef's current action of picking up a peanut, I would fetch the next ingredient.",,"Fetch a clean, dry peanut for the chef.",,fetch peanut,
chop tomatosundried,check timer,"Based on the current action of chopping sundried tomatoes, I would fetch a cutting board next.",,Fetch fresh tomatoes for chopping.,,I'll wash the tomatoes.,
pour contenttupperware,take bread,"Based on the current action, I will fetch the bread.",,Fetch the bread.,,fetch bread,
take detergent,take napkin,"Based on the chef's current action of taking detergent, I would fetch the next required item for the dish washing process, such as a sink or a basin.",,"Fetch the dish soap.

(Note: The response is based on the assumption that the chef needs dish soap for cleaning purposes, which is a common kitchen task. However, without additional context, it's not clear if dish soap is the correct item to fetch. If the chef indeed needs detergent, the response should be ""Fetch",,I'll wash the napkin.,
put-on filter,turn-on kettle,"Based on current observation, I will fetch the kettle for my chef.",,Fetch the ingredients for the chef.,,I'll wash the filter.,
scrub teapot,empty contentbowl,"Based on the current action, I will fetch an empty content bowl next.",,Fetch the teapot to assist the chef.,,I will wash teapot.,
pick-up oil,open flaskoil,"Based on the chef's current action of picking up oil, I would fetch the required cooking utensils next.",,"Fetch the open flask of oil.

This action is chosen because the chef is currently picking up oil, and the next logical step would be to provide the oil that is already open, ensuring efficiency and avoiding unnecessary actions.",,### action: fetch oil,
move mozzarella,close sandwich,"Based on the current action of moving mozzarella, I would fetch the next ingredient for the close sandwich.",,Fetch the bread to close the sandwich.,,I will wash the mozzarella.,
put oilolive,pick-up sauceblackbean,"Based on the current action of putting olive oil, I would fetch a bottle of olive oil if needed.",,Fetch black bean sauce.,,I'll wash the oilolive.,
pour-on oatmeal,close packingoat,"If chef is pouring on oatmeal and next action is close packing, I will fetch the container.",,Fetch close packing oats.,,I will wash the oatmeal.,
slice onion,put-down cupmeasuring,"Based on the chef's current action, I will prepare the next ingredient by fetching it.",,"Fetch the cup measuring cup.

This action is chosen because the chef's current action is slicing onions, and it's likely they will need a measuring cup next for a recipe. Fetching the cup ensures that the chef has the necessary tool ready for the next step without interrupting their current task.",,I'll wash the knife.,
pour-in sauce,close potsauce,"If chef needs close pot sauce, I'll fetch it for them. (fetch)",,Fetch the close pot sauce.,,"### action: wash

### output: wash potsauce",
scrape-out butter,put-down tubbutter,"Based on the current action, I would fetch the tub-butter.",,Fetch a new butter tub.,,I will put-down the tubbutter.,
throw-in onion,chop garlic,"Based on the chef's current action and the next action, I would fetch the garlic.",,Fetch the cutting board and knife.,,I'll chop the onion.,
level groundcoffee,pick-up filter,"Based on current observation, I will fetch the filter. (Fetch the filter.)",,Fetch the coffee filter.,,I'll wash the filter.,
rinse presser,pick-up brush,"Based on the current action of rinsing, the next best help would be to fetch the brush.",,Fetch the brush.,,I'll wash the presser.,
stir pasta,put-down detergent,"Based on the current action of stirring pasta, I would fetch water for cooking next.",,"Fetch the pasta from the pot.

This action is chosen because the chef is currently stirring pasta, which implies that the pasta is likely not yet cooked or has just finished cooking. The next logical step would be to remove the pasta from the pot to prevent overcooking and to prepare it for serving or further cooking. F",,I'll wash the detergent.,
pick-up spoonwooden,hold-down meat,"Based on the chef's current action of picking up a wooden spoon, I would fetch a freshly washed and dried bowl for mixing.",,Fetch the spoon.,,I'll wash the meat.,
open sauceblackbean,put-on colander,"Based on the current action and the possible next action, I would suggest washing the saucepan or fetching the colander.",,Fetch put-on colander.,,I will wash the colander.,
pick-up battery,put-down battery,"Based on the current action of my chef picking up a battery, I would fetch the requested kitchen tool or ingredient.",,Fetch the required ingredients.,,I will wash the battery.,
open machinecoffee,insert holderfilter,"Based on the current action, I will fetch a holder filter next. Therefore, I will bring one to the chef.",,Fetch holder filter.,,I will wash the coffee machine.,
take colander,take-from packtea,"Based on the chef's current action of taking a colander, I would fetch a pot for cooking or bring water for rinsing.",,Fetch the colander for the chef.,,I'll wash the colander.,
pour flour,put-down flour,"Based on the current action of pouring flour, the best assistance would be to:

1. Fetch next ingredient.",,Fetch additional ingredients.,,put-down flour,
gather-in flour,wipe surface,"Based on the chef's next action being ""wipe surface,"" I would fetch a damp cloth to help clean the surface more effectively.",,Fetch the flour for the chef.,,I'll wipe the surface clean.,
break stock,stir stock,"Based on the current action of breaking stock, I will fetch the necessary ingredients and tools for the next action, which is stirring the stock.",,Fetch additional ingredients for the stock.,,I'll wash the stock.,
put glass,end_of_video,"Based on the chef's current action of putting a glass, I would fetch the next ingredient or tool.",,Fetch the ingredients for the chef.,,I'll wash the glass.,
wash hand,pick-up containersalt,"Based on the chef's current action and the potential next action, I would fetch the container of salt.",,Fetch salt for the chef.,,fetch containers,
put-into oilolive,take oilsesame,"If chef is putting olive oil into a pan, I'll fetch more oil if needed.",,Fetch olive oil.,,I'll wash the oil to prevent contamination.,
pick-up can,put-down openercan,"Based on the chef's current action of picking up a can, I would fetch the opener.",,Fetch the ingredients needed for the chef's next recipe.,,I'll put-down the openercan.,
move tub,put-down scale,"Based on the chef's current action of moving the tub, I would stabilize it to prepare for the next action, which is putting it down on the scale.",,Fetch the put-down scale.,,I will wash the tub.,
pick-up sandwich,put-down sandwich,"Based on the chef's next action being ""put-down sandwich,"" I would suggest the following action:

Prepare ingredients for next dish. (fetch, mix)",,"Fetch additional ingredients.

This action is chosen because, after picking up a sandwich, the chef might need more ingredients to complete the sandwich or prepare another one. Fetching additional ingredients ensures that the chef has everything they need to proceed efficiently with their task.",,"### action: put-down sandwich

### my action: wash",
wipe surface,clean lime,"Based on the current action of wiping the surface, the best help I can provide next is to fetch the clean lime.",,Fetch clean lime for chef.,,I'll wash the lime.,
locate cooker,wipe cooker,"If chef requests to wipe cooker next, I will clean the cooker.",,Fetch the cooker.,,"### action: wipe cooker
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
change chopstick,get-out foodcooked,"Based on the chef's current action of changing chopsticks, I would fetch a fresh set.",,Fetch new chopsticks for the chef.,,fetch food,
pick-up slicecarrot,drop-into piececucumber,"Based on the chef's next action being ""drop-into piececucumber,"" I would fetch a cucumber.",,Fetch the slicing board.,,I will wash the carrot.,
move basepizza,chop chilli,"Based on current action, I'll fetch chilli next. So, I'll bring it to the chef.",,Fetch basepizza.,,I'll wash the base pizza.,
rinse hand,search hand,"Based on the chef's current action of rinsing hands, the best help would be to fetch a clean towel for drying.",,Wash hands thoroughly.,,I'll wash hands.,
turn cheese,place avocado,"Based on the current action of turning cheese, I would stabilize it next.",,Fetch avocado.,,Place avocado.,
put-on tray,slide tray,"Based on the current action, I will fetch the necessary items for the chef to slide the tray.",,Fetch the ingredients for the chef.,,I will slide the tray.,
take egg,take salt,"Based on the chef's current action of taking an egg, I would fetch the next ingredient.",,Fetch the egg.,,I'll wash the egg.,
